1|-52||-37||-30|
1|-60||-39||-35|
1|-56||-30||-51|
1|-66||-27||-35|
1|-65||-37||-41|
1|-60||-35||-46|
1|-58||-43||-56|
1|-64||-39||-55|
1|-57||-30||-53|
1|-54||-27||-50|
1|-69||-28||-42|
1|-55||-57||-35|
1|-63||-59||-28|
1|-62||-32||-46|
1|-56||-29||-38|
1|-55||-41||-32|
1|-66||-21||-56|
1|-70||-44||-46|
1|-70||-44||-52|
1|-63||-28||-38|
1|-65||-34||-42|
1|-61||-37|
1|-59||-39||-47|
1|-61||-31||-36|
1|-53||-30||-39|
1|-58||-35||-54|
1|-75||-27||-49|
1|-58||-36||-45|
1|-65||-25||-41|
1|-52||-30||-49|
2|-57||-55||-35|
2|-51||-55||-32|
2|-57||-60||-29|
2|-48||-54||-21|
2|-51||-57||-29|
2|-50||-53||-19|
2|-57||-66||-25|
2|-55||-61||-19|
2|-55||-65||-25|
2|-52||-58||-14|
2|-63||-66||-19|
2|-52||-66||-16|
2|-66||-54||-14|
2|-62||-62||-27|
2|-63||-65||-31|
2|-56||-67||-31|
2|-61||-56||-14|
2|-55||-56||-15|
2|-54||-66||-17|
2|-56||-64||-19|
2|-56||-67||-22|
2|-52||-59||-16|
2|-54||-56||-24|
2|-54||-65||-20|
2|-60||-63||-14|
2|-64||-52||-30|
2|-55||-54||-14|
2|-54||-59||-27|
2|-56||-61||-31|
2|-52||-56||-17|
3|-67||-64||-34|
3|-56||-66||-52|
3|-55||-69||-49|
3|-52||-68||-41|
3|-63||-72||-43|
3|-59||-69||-46|
3|-74||-72||-50|
3|-52||-69||-44|
3|-56||-75||-46|
3|-56||-71||-40|
3|-56||-72||-43|
3|-57||-78||-44|
3|-63||-75||-46|
3|-57||-67||-52|
3|-55||-68||-52|
3|-65||-73||-51|
3|-58||-69||-51|
3|-60||-71||-46|
3|-64||-71||-63|
3|-54||-70||-51|
3|-65||-70||-52|
3|-61||-73||-45|
3|-51||-70||-51|
3|-60||-67||-51|
3|-57||-72||-48|
3|-56||-74||-48|
3|-57||-70||-36|
3|-62||-74||-55|
3|-52||-72||-40|
3|-61||-72||-46|

